amount,date,file_id,reg_id,recipient.name,lobbyist,line
500.0,2008-01-17,download_cache/1750-Supplemental-Statement-20080820-7.xml,5781,Benjamin Cardin,,87
187.5,2008-01-31,download_cache/1750-Supplemental-Statement-20080820-7.xml,5781,ARNOLD & PORTER PARTNERS PAC,,88
250.0,2008-01-31,download_cache/1750-Supplemental-Statement-20080820-7.xml,5781,ARNOLD & PORTER PARTNERS PAC,,89
450.0,2008-01-31,download_cache/1750-Supplemental-Statement-20080820-7.xml,5781,ARNOLD & PORTER PARTNERS PAC,,91
500.0,2008-02-05,download_cache/1750-Supplemental-Statement-20080820-7.xml,5781,Chris Van Hollen,,92
1000.0,2008-02-25,download_cache/1750-Supplemental-Statement-20080820-7.xml,5781,Hillary Clinton,,93
2300.0,2008-02-25,download_cache/1750-Supplemental-Statement-20080820-7.xml,5781,Hillary Clinton,,94
250.0,2008-03-29,download_cache/1750-Supplemental-Statement-20080820-7.xml,5781,LAROCCO FOR SENATE,,95
500.0,2008-04-22,download_cache/1750-Supplemental-Statement-20080820-7.xml,5781,Ike Skelton,,96
187.5,2008-04-23,download_cache/1750-Supplemental-Statement-20080820-7.xml,5781,ARNOLD & PORTER PARTNERS PAC,,97
190.0,2008-04-23,download_cache/1750-Supplemental-Statement-20080820-7.xml,5781,ARNOLD & PORTER PARTNERS PAC,,98
250.0,2008-04-23,download_cache/1750-Supplemental-Statement-20080820-7.xml,5781,ARNOLD & PORTER PARTNERS PAC,,99
750.0,2008-04-23,download_cache/1750-Supplemental-Statement-20080820-7.xml,5781,ARNOLD & PORTER PARTNERS PAC,,100
450.0,2008-04-23,download_cache/1750-Supplemental-Statement-20080820-7.xml,5781,ARNOLD & PORTER PARTNERS PAC,,101
187.5,2008-06-17,download_cache/1750-Supplemental-Statement-20080820-7.xml,5781,ARNOLD & PORTER PARTNERS PAC,,102
190.0,2008-06-17,download_cache/1750-Supplemental-Statement-20080820-7.xml,5781,ARNOLD & PORTER PARTNERS PAC,,103
250.0,2008-06-17,download_cache/1750-Supplemental-Statement-20080820-7.xml,5781,ARNOLD & PORTER PARTNERS PAC,,104
450.0,2008-06-17,download_cache/1750-Supplemental-Statement-20080820-7.xml,5781,ARNOLD & PORTER PARTNERS PAC,,106
100.0,2008-03-26,download_cache/2165-Supplemental-Statement-20080805-7.xml,5781,Hillary Clinton,"Budner, Amy L.",107
1000.0,2008-01-28,download_cache/2165-Supplemental-Statement-20080805-7.xml,5781,John McCain,"John Deschauer, Jr.",108
500.0,2008-02-27,download_cache/2165-Supplemental-Statement-20080805-7.xml,5781,John Murtha,"John Deschauer, Jr.",109
500.0,2008-03-11,download_cache/2165-Supplemental-Statement-20080805-7.xml,5781,Jack Kingston,"John Deschauer, Jr.",110
500.0,2008-03-12,download_cache/2165-Supplemental-Statement-20080805-7.xml,5781,FRIENDS OF PAT HERRITY,"John Deschauer, Jr.",111
1000.0,2008-03-21,download_cache/2165-Supplemental-Statement-20080805-7.xml,5781,DOUG DENNENY FOR CONGRESS,"John Deschauer, Jr.",112
1000.0,2008-04-08,download_cache/2165-Supplemental-Statement-20080805-7.xml,5781,John McCain,"John Deschauer, Jr.",113
250.0,2008-04-23,download_cache/2165-Supplemental-Statement-20080805-7.xml,5781,Joe Donnelly,"John Deschauer, Jr.",114
500.0,2008-05-29,download_cache/2165-Supplemental-Statement-20080805-7.xml,5781,Niki Tsongas,"John Deschauer, Jr.",115
150.0,2008-06-02,download_cache/2165-Supplemental-Statement-20080805-7.xml,5781,FAIRFAX COUNTY REPUBLICAN COMMITTEE,"John Deschauer, Jr.",116
1000.0,2008-06-23,download_cache/2165-Supplemental-Statement-20080805-7.xml,5781,Daniel Inouye,"John Deschauer, Jr.",117
1000.0,2008-06-30,download_cache/2165-Supplemental-Statement-20080805-7.xml,5781,John McCain,"Gavin, Stephen D.",118
500.0,2008-06-24,download_cache/2165-Supplemental-Statement-20080805-7.xml,5781,John Shadegg,"Gavin, Stephen D.",119
500.0,2008-04-28,download_cache/2165-Supplemental-Statement-20080805-7.xml,5781,Shelley Capito,"Gavin, Stephen D.",120
