client_id,name,new_client_id,subcontractor id,x
130187,Japan External Trade Organization (JETRO),129744,,x
130296,"International Counsel Bureau, Kuwaiti Counsel for the Families of Kuwaiti Citizens at Guantanamo Bay",129749,,x
130286,Quebec Government (Ministry of International Relations),129751,,x
130388,The Government of the Republic of Angola,129761,,x
130312,Government of the Republic of Cyprus through Patton Boggs,129766,2165,x
130297,Hong Kong Trade Development Council (through the Hong Kong Economics and Trade Office),129771,2181,x
130263,"Hong Kong Trade Development Council through GrayLoeffler, LLC",129771,5806,x
130189,Republic of Singapore (Singapore Tourism Board),129785,,x
130191,Government of the Cayman Islands (Department of Tourism),129789,,x
130197,The Great Socialist People's Libyan Arab Jamahiriya,129801,,x
130199,"Far East Trade Service, Inc. (FETS)",129807,,x
130200,"Far East Trade Service, Inc. (FETS)",129807,,x
130324,Embassy of the Republic of Turkey (through Fleishman-Hillard),129843,5801,x
130226,"Bureau of Foreign Trade, Ministry of Economic Affairs, Government of the Republic of China (BOFT)",129853,,x
130325,Oromo Liberation Front - OLF,129867,,x
130139,International Business Wales a/k/a Welsh Development Agency,129875,,x
130236,"Austrian Tourist Office, Inc",129889,,x
130290,The Federated States of Micronesia,129894,,x
130204,Abu Dhabi Future Energy Company (Masdar) (through Gulf Hill & Knowlton WLL),129906,3301,x
130305,Kurdistan Regional Government (previously known as Kurdish Democratic Party),129953,,x
130345,Kurdistan Regional Government of Iraq,129953,,x
130309,"Embassy of the United Arab Emirates (through US Emirates Alliance, LLC)",129958,5785,x
130240,Government of the Kingdom of Morocco,129964,,x
130315,The Lesotho National Development Corporation,129968,,x
130307,"Republic of Montenegro, through The Reffe Group",129971,5902,x
130314,Equitorial Guinea and Teodoro Nguema Obiang with Patton Boggs (no longer with Cassidy & Associates),129986,2165,x
130311,Equatorial Guinea through Cassidy & Associates,129986,5643,x
130117,Republic of Equatorial Guinea through Cassidy & Associates,129986,5643,x
130242,ProExport Colombia,129993,,x
130248,President Sassou-Nguesso,130004,,x
130317,"Russian Federation (through Ketchum, Inc.)",130013,5758,x
130256,Serbian National Counsel of Kosovo and Metohija,130027,,x
130239,Netherlands Board of Tourism & Conventions (NBTC),130059,,x
130281,The Government of the Dominican Republic/Asociacion Dominicana de Hacendos y Agricultores,130072,,x
130342,Bermuda Dept of Tourism,130074,,x
130321,Government of Malaysia (through The Laurus Group),130085,6022,x
129821,"Government of Singapore, Prime Minister's Office (through Hill & Knowlton, Singapore)",130094,3301,x
130260,Moroccan American Center for Policy,130109,,x
130349,Colombia Is Passion/Government of Colombia through The Fratelli Group,130146,5867,x
130177,"China Chamber of Commerce for Importers and Exporters of Metals, Minerals and Chemicals",130176,,x
129773,Danish Meat Association (DMA) - (formerly - Danish Bacon and Meat Council (DBMC)),130185,,x
129887,Meat & Wool New Zealand Ltd.,130194,,x
129791,Meat and Wool New Zealand - New Zealand Farmers' Organisation,130194,,x
129857,Deutsche Telekom AG,130227,,x
129992,The City of London (through the Latham Group),130243,4849,x
129958,Embassy of the United Arab Emirates,130254,,x
130201,Republic of Turkey (through the Gephardt Group),130284,5874,x
129910,Bank of the Netherlands Antilles,130300,,x
130299,Central Bank of Curacao and Sint Maarten (formerly the Bank of the Netherlands Antilles,130300,,x
130377,"The United Mexican States (""Mexico"")",130334,,x
130273,United Mexican States,130334,,x
130103,Sheikh Khalid Bin Qasimi (through our client California Strategies),130353,5889,x
130385,Swiss Private Bankers Assoc.,130386,,x
130039,Patton Boggs LLP,,2165,x
130137,Government of Jamaica through Harold C.W. Brady of Brady and Co.,,3047,x
129819,Beijing Organizing Committee for the Games of the XXIX Olympiad (through Hill & Knowlton China),,3301,x
130067,"Qatar Financial Centre Authority (through Hill & Knowlton Qatar, LLC)",,3301,x
