orig id,replace with id,name,stripped name
130007,129744,Government of Japan / Japan External Trade Organization,Japan / Japan External Trade Organization
130219,129748,The Government of Israel,Israel
130304,129765,Government of Cameroon,Cameroon
130181,129766,The Government of the Republic of Cyprus,Cyprus
130183,129775,The People's Republic of China,China
130196,129794,Saint Lucia Tourist Board,Lucia Tourist Board
130198,129797,States of Jersey,States of Jersey
130337,129798,Government of Thailand,Thailand
130011,129814,Government of Ontario,Ontario
130284,129834,Republic of Turkey,Turkey
130228,129858,State Government Office of Tourism New South Wales Australian Tourism Office,State Government Office of Tourism New South Wales Australian Tourism Office
130306,129921,Republic of India,India
130285,129956,Republic of Georgia,Georgia
129970,129969,The Republic of Uganda,Uganda
130330,129971,Government of Montenegro,Montenegro
129997,129996,Williams Mullen continued to represent the Government of Romania.,Williams Mullen continued to represent Romania.
130272,130035,Principality of Liechtenstein,Liechtenstein
130338,130093,Province of Alberta,Alberta
130378,130146,The Republic of Colombia,Colombia
130380,130253,Government of Quebec,Quebec
130353,130339,Sheikh Khalid Bin Saqr Al Qasimi,Sheikh Khalid Bin Saqr Al Qasimi
130095,,"A.K. Capital, NHB","A.K. Capital, NHB"
130162,,Government of the Republic of Abkhazia,Abkhazia
130087,,Abu Dhabi Department of Planning and Economy,Abu Dhabi Department of Planning and Economy
129906,,Abu Dhabi Future Energy Company (trading name of Masdar),Abu Dhabi Future Energy Company (trading name of Masdar)
129788,,Abu Dhabi Investment Authority,Abu Dhabi Investment Authority
130475,,Abu Dhabi Tourism & Culture Authority,Abu Dhabi Tourism & Culture Authority
130070,,Afghan Interim Administration,Afghan Interim Administration
129839,,Government of Afghanistan,Afghanistan
130217,,"Government of Afghanistan, Embassy","Afghanistan, Embassy"
130319,,"Afrique Expansion, Inc.","Afrique Expansion, Inc."
130449,,Agang South Africa,Agang South Africa
130376,,Agencia Brasileira de Desenvolvimento Industrial,Agencia Brasileira de Desenvolvimento Industrial
130343,,Agencija Za Konsalting Sigma Team Plus,Agencija Za Konsalting Sigma Team Plus
129960,,Mr. Ahmed Ezz,Ahmed Ezz
129737,,Air France,Air France
130184,,The Government of Albania,Albania
130093,,Government of Alberta,Alberta
130135,,Alberta Enterprise Group,Alberta Enterprise Group
130490,,All India Rice Exports Associations (AIREA),All India Rice Exports Associations (AIREA)
130446,,All Pakistan Muslim League,All Pakistan Muslim League
130221,,Alliance for a Green Revolution in Africa (AGRA),Alliance for a Green Revolution in Africa (AGRA)
129758,,Alpine Tourist Commission,Alpine Tourist Commission
130447,,"Alvaro Baltodano, Executive Secretary Government of Nicaragua Corporacion de Zoras Francas","Alvaro Baltodano, Executive Secretary Nicaragua Corporacion de Zoras Francas"
130118,,"Ambassador Mohammed Khazee, Permanent Representative, Mission of the Islamic Republic to the Un","Ambassador Mohammed Khazee, Permanent Representative, Mission of Islamic Republic to Un"
129810,,American Palm Oil Council,American Palm Oil Council
129891,,AmLib United Minerals,AmLib Minerals
