Robert Pearson (Ret.),34751
Mark Parris (Ret.),34750
James Homes (Ret.),34749
Aaron Schock (IL),35759
Steve Stivers (OH),35906
Jill Morgenthaler (IL),35974
Waxman (CA),3417658
Rep. Dingell (MI),3417656
Sen. Grassley (IA),3417648
James Clyburn (D - SC),3417717
Norm Coleman (R - MN),3417716
Tom Harkin (D - IA),3417715
Howard Berman (D - CA),3417714
Evan Bayh (D-IN),3417720
John Boozman (R-AR),3418517
Mike Ross (R-AR),3418510
Pete Hoekstra (R-MI),3418498
John Boozman (R-AR),3418489
John Boozman (R-AR),3418488
John Boozman (R-AR),3418486
Mike Ross (D-AR),3418485
Robert Bennet (R-UT),3418484
Mel Martinez (R-FL),3418483
Mike Ross (D-AR),3418482
Mike Ross (D-AR),3418481
Mike Ross (D-AR),3418480
Don Manzullo (R-IL),3418479
Mike Ross (D-AR),3418478
Don Manzullo (R-IL),3418477
Pete Hoekstra (R-MI),3418476
Pete Hoekstra (R-MI),3418475
Jim DeMint (R-SC),3418474
Jim DeMint (R-SC),3418473
Ed Whitfield (R-KY),3418472
George Voinovich (R-OH),3418457
Ginny Brown (R-FL),3472528
Paul Ryan (R-WI),3418523
Brett Guthrie (R-KY),3418618
Dave Camp (R-MI),3418615
Ed Whitfield (R-KY),3418559
Ed Whitfield (R-KY),3418550
Gregorio Sablan (Del-CNMI),3418761
Eni Faleomavaega (D-AS),3418773
Eni Faleomavaega (D-AS),3418769
Daniel Inouye (D-HI),3418763
Susan Brewer Cynthia (Susan's cousin) Gayla Bymum,3421337
Colin Powell (ret),3422291
Michael Hayden (ret),3422290
Tommy Franks (ret),3422289
"Russ Feingold (D-WI), Kay Hutchison (R-TX), John Thune (R-SD), and George Voinovich (R-OH)",3432629
Roger Wicker (R-MS),3432628
"Richard Burr (R-NC), Lindsey Graham (R-SC), and Dave Vitter (R-LA)",3432627
Jim Webb (D-VA),3432626
Chris Dodd (D-CT),3432625
Qubad Talabang (KRG),3433273
Rep. Kevin Brady (TX),3433575
Rep. Sander Levin (MI),3433574
Rep. Charles Rangel (NY),3433573
Rep. John Tanner (DTN); George Tagg,3434610
Current (Public Broadcasting),3434997
ChannelVision Magazine (Global Telecom),3434991
CED (Communications Engineering & Design),3434990
B&C (formerly Broadcasting & Cable),3434981
Digital Media Wire (DMW),3434999
Telecommunications (UK edition),3435031
Television Broadcast (TVB),3435036
IT Blogwatch (ComputerWorld),3435117
Freelance (IT Business Edge),3435111
Datamation (also IT Management),3435106
Dow Jones (Clean Tech),3435224
Falah Mustafa Bakir (KRG) And Qubad Talabany (KRG),3435308
General (Ret) Christman,3435539
Bernie Sanders (I-VT),3436719
Jim Oberstar (D-MN),3436715
McHugh (R-NY),3436710
Gillibrand (D-NY),3436709
Schumer (D-NY),3436708
Evan Bayh (D-IN),3436768
Mitch McConnell (R-KY),3436772
Kevin Brady (R-TX),3436837
Sandy Levin (D-MI),3436810
Jim Oberstar (D-MN),3436883
McHugh (R-NY),3436866
Gillibrand (D-NY),3436865
Schumer (D-NY),3436864
Sherrod Brown (D-OH),3436852
Judd Gregg (R-NH),3436892
Ben Nelson (D-NE),3436890
Bernie Sanders (I-VT),3436888
James McDermott (D-WA),3438291
James McDermott (D-WA),3438289
James McDermott (D-WA),3438288
James McDermott (D-WA),3438285
James (Jim) M. Sherry,3438126
William (Bill) J. Wahlig,3438120
Wallly Herger (R-CA),3438298
Peter Roskam (R-IL),3438295
James McDermott (D-WA),3438293
Sheridan Prasso (Freelancer),3438600
Duncan Hunter (R-CA),3438983
Rep. Christopher Smith (R-NJ-4),3441036
Rep. Gus Bilirakis (R-FL-9),3441035
Rep. Mike Pence (R-IN-6),3441034
Rep. Elton Gallegly (R-CA-24),3441033
Rep. Corrine Brown (D-FL-3),3441032
Rep. Dan Burton (R-IN-5),3441031
Congressman Dana Rohrabacher (R-CA),3441057
Sen. Dick Durbin (D-IL),3441049
Sen. Chris Dodd (D-CT),3441048
