Stephen Martinko,Stephen Martinko and Patricia Villarreal
Patricia Villarreal,Stephen Martinko and Patricia Villarreal
B,"Schumer, Charles E."
Ron Wyden,"Schumer, Charles E."
B,"Wyden, Ron"
Herb Kohl,"Schumer, Charles E."
B,"Boxer, Barbara"
Ron Wyden,"Boxer, Barbara"
Herb Kohl,"Boxer, Barbara"
B,"Levin, Carl"
B,"Kohl, Herb"
B,"Coleman, Norm"
George Dalley,"Rangel, Charles B."
Keith Pem,"Rangel, Charles B."
George Dalley,"Rangel, Charles B."
Keith Pem,"Rangel, Charles B."
Jack Kingston,Mike Rogers [TWO MEMBERS WITH THIS NAME]
Greg Walden,Mike Rogers [TWO MEMBERS WITH THIS NAME]
Mike Rodgers,Mike Rogers [TWO MEMBERS WITH THIS NAME]
Ted Poe,"Landrieu, Mary L."
Ron Klein,"Landrieu, Mary L."
Jim D,"Landrieu, Mary L."
Jim D,"DeMint, Jim"
Jim D,"Klein, Ron"
Ted Poe,"Chandler, Ben"
Jim D,"Chandler, Ben"
Herb Kohl,"Feinstein, Dianne"
Ron Wyden,"Feinstein, Dianne"
B,"Feinstein, Dianne"
Alyson,"Foxx, Virginia"
Virginia Foxx,"Schwartz, Allyson Y."
Alyson,"Schwartz, Allyson Y."
Gregory M,"Meeks, Gregory W."
Gregory M,"Payne, Donald M."
"Lieberman, Hoyer, Diaz-Balart",Diaz-Balart [TWO MEMBERS WITH THIS NAME]
Ph,"Christensen, Donna M."
Ph,"Butterfield, G. K."
Donald Payne,"Meeks, Gregory W."
Ph,"Wu, David"
Ph,"Payne, Donald M."
Ph,"English, Phil"
Ph,"Meeks, Gregory W."
Mike,"Cummings, Elijah E."
Elijah Cummings,"Christensen, Donna M."
Mike,"Christensen, Donna M."
G,"Wu, David"
Virginia Foxx,"Bordallo, Madeleine Z."
David Wu,"Bordallo, Madeleine Z."
Diane Watson,"Bordallo, Madeleine Z."
G,"Bordallo, Madeleine Z."
David Wu,"Foxx, Virginia"
G,"Foxx, Virginia"
Virginia Foxx,"Butterfield, G. K."
David Wu,"Butterfield, G. K."
Diane Watson,"Butterfield, G. K."
G,"Butterfield, G. K."
David Wu,"Watson, Diane E."
G,"Watson, Diane E."
Virginia Foxx,"Faleomavaega, Eni F. H."
David Wu,"Faleomavaega, Eni F. H."
Diane Watson,"Faleomavaega, Eni F. H."
G,"Faleomavaega, Eni F. H."
Mike,"Honda, Mike"
Mike,"English, Phil"
Howard B,"Ackerman, Gary"
Howard B,"Berkley, Shelley"
Howard B,"Berman, Howard L."
Howard B,"Chandler, Ben"
Howard B,"Blumenauer, Earl"
Tom Lantos,"Engel, Eliot L."
Tom Lantos,"Norton, Eleanor Holmes"
Robert Wexler,"Norton, Eleanor Holmes"
Eliot Engel,"Norton, Eleanor Holmes"
Tom Lantos,"Towns, Edolphus"
Tom Lantos,"Meeks, Gregory W."
Eliot Engel,"Meeks, Gregory W."
Ned Michal,"Payne, Donald M."
Ned Michal,"Engel, Eliot L."
David Wu,"Christensen, Donna M."
Gregory Meeks,"Christensen, Donna M."
Donna Christ,"Christensen, Donna M."
David Wu,"Meeks, Gregory W."
Donna Christ,"Meeks, Gregory W."
Donald Payne,"Butterfield, G. K."
E.b. Joh,"Butterfield, G. K."
G.k. Butterfield,"Johnson, Eddie Bernice"
Donald Payne,"Johnson, Eddie Bernice"
E.b. Joh,"Johnson, Eddie Bernice"
G.k. Butterfield,"Bordallo, Madeleine Z."
Donald Payne,"Bordallo, Madeleine Z."
E.b. Joh,"Bordallo, Madeleine Z."
E.b. Joh,"English, Phil"
E.b. Joh,"Payne, Donald M."
Bobby Scott,"Scott, Robert C. (Bobby)"
Stephen Cohen,"Scott, Robert C. (Bobby)"
Artur David,"Scott, Robert C. (Bobby)"
Gene Gr,"Engel, Eliot L."
Eliot Engel,"Jackson Lee, Sheila"
Gene Gr,"Jackson Lee, Sheila"
Howard B,"Crowley, Joseph"
Gene Gr,"Giffords, Gabrielle"
C,"Miller, Brad"
Eliot Engel,"Hastings, Alcee L."
Gene Gr,"Hastings, Alcee L."
Eliot Engel,"Giffords, Gabrielle"
David W,"Waxman, Henry A."
David Price,"Van Hollen, Chris"
Adam Schiff,"Van Hollen, Chris"
Brad Sherman,"Van Hollen, Chris"
C,"Lowey, Nita"
Rick Larsen,"Meeks, Gregory W."
Sander Levin,"Meeks, Gregory W."
Nita Lowey,"Meeks, Gregory W."
C,"Meeks, Gregory W."
Rick Larsen,"Ortiz, Solomon P."
Sander Levin,"Ortiz, Solomon P."
Nita Lowey,"Ortiz, Solomon P."
C,"Ortiz, Solomon P."
C,"Larsen, Rick"
C,"Levin, Sander"
Rick Larsen,"Maloney, Carolyn B."
Sander Levin,"Maloney, Carolyn B."
Nita Lowey,"Maloney, Carolyn B."
C,"Maloney, Carolyn B."
